
Initial w1 = 0.1286
Initial w2 = -0.0432
Initial b  = 0.0205 
1000
1000
starting training   
Epoch 1/5000, Loss: 0.46021450, w1: 0.126496, w2: -0.041637, Current b: 0.020528
Epoch 660/5000, Loss: 0.07992312, w1: -0.179953, w2: 0.188736, Current b: -0.034217
Epoch 670/5000, Loss: 0.07978658, w1: -0.180742, w2: 0.189328, Current b: -0.034920
Epoch 680/5000, Loss: 0.07965321, w1: -0.181517, w2: 0.189911, Current b: -0.035618
Epoch 690/5000, Loss: 0.07952288, w1: -0.182278, w2: 0.190483, Current b: -0.036312
Epoch 700/5000, Loss: 0.07939545, w1: -0.183026, w2: 0.191045, Current b: -0.037002
Epoch 710/5000, Loss: 0.07927083, w1: -0.183761, w2: 0.191598, Current b: -0.037688
Epoch 720/5000, Loss: 0.07914891, w1: -0.184484, w2: 0.192141, Current b: -0.038370
Epoch 730/5000, Loss: 0.07902958, w1: -0.185194, w2: 0.192675, Current b: -0.039048
Epoch 740/5000, Loss: 0.07891274, w1: -0.185893, w2: 0.193201, Current b: -0.039722
Epoch 750/5000, Loss: 0.07879831, w1: -0.186581, w2: 0.193718, Current b: -0.040392
Epoch 760/5000, Loss: 0.07868620, w1: -0.187258, w2: 0.194227, Current b: -0.041059
Epoch 770/5000, Loss: 0.07857633, w1: -0.187925, w2: 0.194728, Current b: -0.041722
Epoch 780/5000, Loss: 0.07846861, w1: -0.188581, w2: 0.195221, Current b: -0.042381
Epoch 790/5000, Loss: 0.07836298, w1: -0.189227, w2: 0.195707, Current b: -0.043037
Epoch 800/5000, Loss: 0.07825936, w1: -0.189863, w2: 0.196185, Current b: -0.043690
Epoch 810/5000, Loss: 0.07815769, w1: -0.190490, w2: 0.196657, Current b: -0.044339
Epoch 820/5000, Loss: 0.07805790, w1: -0.191108, w2: 0.197121, Current b: -0.044984
Epoch 830/5000, Loss: 0.07795993, w1: -0.191717, w2: 0.197579, Current b: -0.045626
Epoch 840/5000, Loss: 0.07786373, w1: -0.192317, w2: 0.198030, Current b: -0.046265
Epoch 850/5000, Loss: 0.07776923, w1: -0.192909, w2: 0.198475, Current b: -0.046901
Epoch 860/5000, Loss: 0.07767638, w1: -0.193493, w2: 0.198914, Current b: -0.047533
Epoch 870/5000, Loss: 0.07758513, w1: -0.194068, w2: 0.199346, Current b: -0.048163
Epoch 880/5000, Loss: 0.07749544, w1: -0.194636, w2: 0.199773, Current b: -0.048789
Epoch 890/5000, Loss: 0.07740725, w1: -0.195196, w2: 0.200194, Current b: -0.049412
Epoch 900/5000, Loss: 0.07732053, w1: -0.195749, w2: 0.200610, Current b: -0.050033
Epoch 910/5000, Loss: 0.07723522, w1: -0.196294, w2: 0.201020, Current b: -0.050650
Epoch 920/5000, Loss: 0.07715129, w1: -0.196833, w2: 0.201424, Current b: -0.051264
Epoch 930/5000, Loss: 0.07706870, w1: -0.197364, w2: 0.201824, Current b: -0.051876
Epoch 940/5000, Loss: 0.07698741, w1: -0.197889, w2: 0.202219, Current b: -0.052484
Epoch 950/5000, Loss: 0.07690739, w1: -0.198407, w2: 0.202608, Current b: -0.053090
Epoch 960/5000, Loss: 0.07682859, w1: -0.198919, w2: 0.202993, Current b: -0.053693
Epoch 970/5000, Loss: 0.07675099, w1: -0.199425, w2: 0.203373, Current b: -0.054293
Epoch 980/5000, Loss: 0.07667455, w1: -0.199924, w2: 0.203749, Current b: -0.054891
Epoch 990/5000, Loss: 0.07659925, w1: -0.200418, w2: 0.204120, Current b: -0.055486
Epoch 1000/5000, Loss: 0.07652505, w1: -0.200905, w2: 0.204486, Current b: -0.056078
Epoch 1010/5000, Loss: 0.07645192, w1: -0.201387, w2: 0.204848, Current b: -0.056668
Epoch 1020/5000, Loss: 0.07637983, w1: -0.201864, w2: 0.205207, Current b: -0.057255
Epoch 1030/5000, Loss: 0.07630877, w1: -0.202335, w2: 0.205561, Current b: -0.057839
Epoch 1040/5000, Loss: 0.07623870, w1: -0.202800, w2: 0.205911, Current b: -0.058421
Epoch 1050/5000, Loss: 0.07616960, w1: -0.203261, w2: 0.206257, Current b: -0.059001
Epoch 1060/5000, Loss: 0.07610144, w1: -0.203716, w2: 0.206599, Current b: -0.059578
Epoch 1070/5000, Loss: 0.07603420, w1: -0.204166, w2: 0.206937, Current b: -0.060153
Epoch 1080/5000, Loss: 0.07596787, w1: -0.204611, w2: 0.207272, Current b: -0.060725
Epoch 1090/5000, Loss: 0.07590241, w1: -0.205052, w2: 0.207603, Current b: -0.061295
Epoch 1100/5000, Loss: 0.07583781, w1: -0.205487, w2: 0.207931, Current b: -0.061863
Epoch 1110/5000, Loss: 0.07577405, w1: -0.205919, w2: 0.208255, Current b: -0.062428
Epoch 1120/5000, Loss: 0.07571110, w1: -0.206345, w2: 0.208575, Current b: -0.062991
Epoch 1130/5000, Loss: 0.07564895, w1: -0.206767, w2: 0.208893, Current b: -0.063552
Epoch 1140/5000, Loss: 0.07558759, w1: -0.207185, w2: 0.209207, Current b: -0.064111
Epoch 1150/5000, Loss: 0.07552698, w1: -0.207599, w2: 0.209518, Current b: -0.064667
Epoch 1160/5000, Loss: 0.07546713, w1: -0.208008, w2: 0.209825, Current b: -0.065222
Epoch 1170/5000, Loss: 0.07540800, w1: -0.208413, w2: 0.210130, Current b: -0.065774
Epoch 1180/5000, Loss: 0.07534958, w1: -0.208814, w2: 0.210432, Current b: -0.066324
Epoch 1190/5000, Loss: 0.07529187, w1: -0.209212, w2: 0.210730, Current b: -0.066871
Epoch 1200/5000, Loss: 0.07523483, w1: -0.209605, w2: 0.211026, Current b: -0.067417
Epoch 1210/5000, Loss: 0.07517847, w1: -0.209995, w2: 0.211319, Current b: -0.067961
Epoch 1220/5000, Loss: 0.07512276, w1: -0.210381, w2: 0.211609, Current b: -0.068503
Epoch 1230/5000, Loss: 0.07506769, w1: -0.210763, w2: 0.211896, Current b: -0.069042
Epoch 1240/5000, Loss: 0.07501324, w1: -0.211141, w2: 0.212181, Current b: -0.069580
Epoch 1250/5000, Loss: 0.07495942, w1: -0.211516, w2: 0.212463, Current b: -0.070116
Epoch 1260/5000, Loss: 0.07490619, w1: -0.211888, w2: 0.212742, Current b: -0.070650
Epoch 1270/5000, Loss: 0.07485355, w1: -0.212256, w2: 0.213019, Current b: -0.071181
Epoch 1280/5000, Loss: 0.07480150, w1: -0.212621, w2: 0.213293, Current b: -0.071711
Epoch 1290/5000, Loss: 0.07475001, w1: -0.212982, w2: 0.213565, Current b: -0.072239
Epoch 1300/5000, Loss: 0.07469907, w1: -0.213340, w2: 0.213834, Current b: -0.072765
Epoch 1310/5000, Loss: 0.07464868, w1: -0.213695, w2: 0.214101, Current b: -0.073290
Epoch 1320/5000, Loss: 0.07459882, w1: -0.214047, w2: 0.214365, Current b: -0.073812
Epoch 1330/5000, Loss: 0.07454949, w1: -0.214396, w2: 0.214627, Current b: -0.074333
Epoch 1340/5000, Loss: 0.07450067, w1: -0.214742, w2: 0.214887, Current b: -0.074852
Epoch 1350/5000, Loss: 0.07445235, w1: -0.215084, w2: 0.215145, Current b: -0.075369
Epoch 1360/5000, Loss: 0.07440453, w1: -0.215424, w2: 0.215401, Current b: -0.075884
Epoch 1370/5000, Loss: 0.07435720, w1: -0.215761, w2: 0.215654, Current b: -0.076397
Epoch 1380/5000, Loss: 0.07431034, w1: -0.216095, w2: 0.215905, Current b: -0.076909
Epoch 1390/5000, Loss: 0.07426395, w1: -0.216426, w2: 0.216154, Current b: -0.077419
Epoch 1400/5000, Loss: 0.07421802, w1: -0.216755, w2: 0.216401, Current b: -0.077928
Epoch 1410/5000, Loss: 0.07417255, w1: -0.217081, w2: 0.216646, Current b: -0.078434
Epoch 1420/5000, Loss: 0.07412751, w1: -0.217404, w2: 0.216889, Current b: -0.078939
Epoch 1430/5000, Loss: 0.07408291, w1: -0.217724, w2: 0.217130, Current b: -0.079443
Epoch 1440/5000, Loss: 0.07403874, w1: -0.218042, w2: 0.217369, Current b: -0.079944
Epoch 1450/5000, Loss: 0.07399499, w1: -0.218358, w2: 0.217606, Current b: -0.080444
Epoch 1460/5000, Loss: 0.07395165, w1: -0.218671, w2: 0.217841, Current b: -0.080943
Epoch 1470/5000, Loss: 0.07390872, w1: -0.218981, w2: 0.218074, Current b: -0.081440
Epoch 1480/5000, Loss: 0.07386618, w1: -0.219289, w2: 0.218306, Current b: -0.081935
Epoch 1490/5000, Loss: 0.07382404, w1: -0.219594, w2: 0.218536, Current b: -0.082429
Epoch 1500/5000, Loss: 0.07378229, w1: -0.219898, w2: 0.218763, Current b: -0.082921
Epoch 1510/5000, Loss: 0.07374091, w1: -0.220198, w2: 0.218990, Current b: -0.083412
Epoch 1520/5000, Loss: 0.07369991, w1: -0.220497, w2: 0.219214, Current b: -0.083901
Epoch 1530/5000, Loss: 0.07365928, w1: -0.220793, w2: 0.219437, Current b: -0.084388
Epoch 1540/5000, Loss: 0.07361900, w1: -0.221087, w2: 0.219658, Current b: -0.084874
Epoch 1550/5000, Loss: 0.07357908, w1: -0.221379, w2: 0.219877, Current b: -0.085359
Epoch 1560/5000, Loss: 0.07353951, w1: -0.221669, w2: 0.220095, Current b: -0.085842
Epoch 1570/5000, Loss: 0.07350029, w1: -0.221956, w2: 0.220311, Current b: -0.086324
Epoch 1580/5000, Loss: 0.07346140, w1: -0.222242, w2: 0.220526, Current b: -0.086804
Epoch 1590/5000, Loss: 0.07342285, w1: -0.222525, w2: 0.220739, Current b: -0.087283
Epoch 1600/5000, Loss: 0.07338462, w1: -0.222807, w2: 0.220950, Current b: -0.087760
Epoch 1610/5000, Loss: 0.07334672, w1: -0.223086, w2: 0.221160, Current b: -0.088236
Epoch 1620/5000, Loss: 0.07330913, w1: -0.223363, w2: 0.221369, Current b: -0.088710
Epoch 1630/5000, Loss: 0.07327186, w1: -0.223638, w2: 0.221576, Current b: -0.089183
Epoch 1640/5000, Loss: 0.07323490, w1: -0.223912, w2: 0.221781, Current b: -0.089655
Epoch 1650/5000, Loss: 0.07319824, w1: -0.224183, w2: 0.221985, Current b: -0.090126
Epoch 1660/5000, Loss: 0.07316188, w1: -0.224453, w2: 0.222188, Current b: -0.090595
Epoch 1670/5000, Loss: 0.07312581, w1: -0.224721, w2: 0.222389, Current b: -0.091062
Epoch 1680/5000, Loss: 0.07309004, w1: -0.224986, w2: 0.222589, Current b: -0.091528
Epoch 1690/5000, Loss: 0.07305455, w1: -0.225250, w2: 0.222787, Current b: -0.091993
Epoch 1700/5000, Loss: 0.07301934, w1: -0.225513, w2: 0.222985, Current b: -0.092457
Epoch 1710/5000, Loss: 0.07298441, w1: -0.225773, w2: 0.223180, Current b: -0.092919
Epoch 1720/5000, Loss: 0.07294976, w1: -0.226032, w2: 0.223375, Current b: -0.093380
Epoch 1730/5000, Loss: 0.07291537, w1: -0.226289, w2: 0.223568, Current b: -0.093840
Epoch 1740/5000, Loss: 0.07288125, w1: -0.226544, w2: 0.223760, Current b: -0.094299
Epoch 1750/5000, Loss: 0.07284739, w1: -0.226798, w2: 0.223951, Current b: -0.094756
Epoch 1760/5000, Loss: 0.07281380, w1: -0.227050, w2: 0.224140, Current b: -0.095212
Epoch 1770/5000, Loss: 0.07278045, w1: -0.227300, w2: 0.224328, Current b: -0.095667
Epoch 1780/5000, Loss: 0.07274736, w1: -0.227549, w2: 0.224515, Current b: -0.096120
Epoch 1790/5000, Loss: 0.07271452, w1: -0.227796, w2: 0.224701, Current b: -0.096572
Epoch 1800/5000, Loss: 0.07268192, w1: -0.228041, w2: 0.224885, Current b: -0.097023
Epoch 1810/5000, Loss: 0.07264956, w1: -0.228285, w2: 0.225069, Current b: -0.097473
Epoch 1820/5000, Loss: 0.07261744, w1: -0.228527, w2: 0.225251, Current b: -0.097922
Epoch 1830/5000, Loss: 0.07258555, w1: -0.228768, w2: 0.225432, Current b: -0.098369
Epoch 1840/5000, Loss: 0.07255390, w1: -0.229007, w2: 0.225612, Current b: -0.098815
Epoch 1850/5000, Loss: 0.07252248, w1: -0.229245, w2: 0.225791, Current b: -0.099260
Epoch 1860/5000, Loss: 0.07249128, w1: -0.229482, w2: 0.225968, Current b: -0.099704
Epoch 1870/5000, Loss: 0.07246030, w1: -0.229717, w2: 0.226145, Current b: -0.100147
Epoch 1880/5000, Loss: 0.07242954, w1: -0.229950, w2: 0.226320, Current b: -0.100588
Epoch 1890/5000, Loss: 0.07239900, w1: -0.230182, w2: 0.226495, Current b: -0.101029
Epoch 1900/5000, Loss: 0.07236868, w1: -0.230413, w2: 0.226668, Current b: -0.101468
Epoch 1910/5000, Loss: 0.07233856, w1: -0.230642, w2: 0.226840, Current b: -0.101906
Epoch 1920/5000, Loss: 0.07230866, w1: -0.230870, w2: 0.227012, Current b: -0.102343
Epoch 1930/5000, Loss: 0.07227896, w1: -0.231096, w2: 0.227182, Current b: -0.102779
Epoch 1940/5000, Loss: 0.07224946, w1: -0.231321, w2: 0.227351, Current b: -0.103214
Epoch 1950/5000, Loss: 0.07222017, w1: -0.231545, w2: 0.227519, Current b: -0.103648
Epoch 1960/5000, Loss: 0.07219107, w1: -0.231768, w2: 0.227687, Current b: -0.104080
Epoch 1970/5000, Loss: 0.07216217, w1: -0.231989, w2: 0.227853, Current b: -0.104512
Epoch 1980/5000, Loss: 0.07213346, w1: -0.232209, w2: 0.228018, Current b: -0.104942
Epoch 1990/5000, Loss: 0.07210495, w1: -0.232427, w2: 0.228183, Current b: -0.105372
Epoch 2000/5000, Loss: 0.07207662, w1: -0.232645, w2: 0.228346, Current b: -0.105800
Epoch 2010/5000, Loss: 0.07204848, w1: -0.232861, w2: 0.228509, Current b: -0.106227
Epoch 2020/5000, Loss: 0.07202052, w1: -0.233076, w2: 0.228670, Current b: -0.106653
Epoch 2030/5000, Loss: 0.07199275, w1: -0.233290, w2: 0.228831, Current b: -0.107078
Epoch 2040/5000, Loss: 0.07196515, w1: -0.233502, w2: 0.228991, Current b: -0.107503
Epoch 2050/5000, Loss: 0.07193773, w1: -0.233713, w2: 0.229149, Current b: -0.107926
Epoch 2060/5000, Loss: 0.07191049, w1: -0.233923, w2: 0.229307, Current b: -0.108348
Epoch 2070/5000, Loss: 0.07188343, w1: -0.234132, w2: 0.229464, Current b: -0.108769
Epoch 2080/5000, Loss: 0.07185653, w1: -0.234340, w2: 0.229621, Current b: -0.109189
Epoch 2090/5000, Loss: 0.07182980, w1: -0.234547, w2: 0.229776, Current b: -0.109608
Epoch 2100/5000, Loss: 0.07180324, w1: -0.234752, w2: 0.229930, Current b: -0.110026
Epoch 2110/5000, Loss: 0.07177685, w1: -0.234957, w2: 0.230084, Current b: -0.110443
Epoch 2120/5000, Loss: 0.07175062, w1: -0.235160, w2: 0.230237, Current b: -0.110859
Epoch 2130/5000, Loss: 0.07172455, w1: -0.235362, w2: 0.230389, Current b: -0.111274
Epoch 2140/5000, Loss: 0.07169865, w1: -0.235563, w2: 0.230540, Current b: -0.111688
Epoch 2150/5000, Loss: 0.07167290, w1: -0.235763, w2: 0.230690, Current b: -0.112101
Epoch 2160/5000, Loss: 0.07164731, w1: -0.235962, w2: 0.230840, Current b: -0.112514
Epoch 2170/5000, Loss: 0.07162187, w1: -0.236160, w2: 0.230989, Current b: -0.112925
Epoch 2180/5000, Loss: 0.07159658, w1: -0.236357, w2: 0.231137, Current b: -0.113335
Epoch 2190/5000, Loss: 0.07157145, w1: -0.236553, w2: 0.231284, Current b: -0.113745
Epoch 2200/5000, Loss: 0.07154647, w1: -0.236748, w2: 0.231430, Current b: -0.114153
Epoch 2210/5000, Loss: 0.07152163, w1: -0.236941, w2: 0.231576, Current b: -0.114561
Epoch 2220/5000, Loss: 0.07149694, w1: -0.237134, w2: 0.231721, Current b: -0.114967
Epoch 2230/5000, Loss: 0.07147240, w1: -0.237326, w2: 0.231865, Current b: -0.115373
Epoch 2240/5000, Loss: 0.07144800, w1: -0.237517, w2: 0.232009, Current b: -0.115778
Epoch 2250/5000, Loss: 0.07142374, w1: -0.237707, w2: 0.232151, Current b: -0.116181
Epoch 2260/5000, Loss: 0.07139962, w1: -0.237896, w2: 0.232293, Current b: -0.116584
Epoch 2270/5000, Loss: 0.07137564, w1: -0.238083, w2: 0.232435, Current b: -0.116986
Epoch 2280/5000, Loss: 0.07135180, w1: -0.238270, w2: 0.232575, Current b: -0.117388
Epoch 2290/5000, Loss: 0.07132809, w1: -0.238456, w2: 0.232715, Current b: -0.117788
Epoch 2300/5000, Loss: 0.07130452, w1: -0.238642, w2: 0.232854, Current b: -0.118187
Epoch 2310/5000, Loss: 0.07128108, w1: -0.238826, w2: 0.232993, Current b: -0.118586
Epoch 2320/5000, Loss: 0.07125778, w1: -0.239009, w2: 0.233130, Current b: -0.118983
Epoch 2330/5000, Loss: 0.07123460, w1: -0.239191, w2: 0.233268, Current b: -0.119380
Epoch 2340/5000, Loss: 0.07121155, w1: -0.239373, w2: 0.233404, Current b: -0.119776
Epoch 2350/5000, Loss: 0.07118863, w1: -0.239554, w2: 0.233540, Current b: -0.120171
Epoch 2360/5000, Loss: 0.07116584, w1: -0.239733, w2: 0.233675, Current b: -0.120565
Epoch 2370/5000, Loss: 0.07114317, w1: -0.239912, w2: 0.233809, Current b: -0.120959
Epoch 2380/5000, Loss: 0.07112063, w1: -0.240090, w2: 0.233943, Current b: -0.121351
Epoch 2390/5000, Loss: 0.07109820, w1: -0.240267, w2: 0.234076, Current b: -0.121743
Epoch 2400/5000, Loss: 0.07107590, w1: -0.240443, w2: 0.234209, Current b: -0.122134
Epoch 2410/5000, Loss: 0.07105372, w1: -0.240619, w2: 0.234341, Current b: -0.122524
Epoch 2420/5000, Loss: 0.07103166, w1: -0.240794, w2: 0.234472, Current b: -0.122913
Epoch 2430/5000, Loss: 0.07100972, w1: -0.240967, w2: 0.234603, Current b: -0.123301
Epoch 2440/5000, Loss: 0.07098789, w1: -0.241140, w2: 0.234733, Current b: -0.123689
Epoch 2450/5000, Loss: 0.07096618, w1: -0.241312, w2: 0.234862, Current b: -0.124076
Epoch 2460/5000, Loss: 0.07094459, w1: -0.241484, w2: 0.234991, Current b: -0.124462
Epoch 2470/5000, Loss: 0.07092310, w1: -0.241654, w2: 0.235119, Current b: -0.124847
Epoch 2480/5000, Loss: 0.07090173, w1: -0.241824, w2: 0.235247, Current b: -0.125231
Epoch 2490/5000, Loss: 0.07088047, w1: -0.241993, w2: 0.235374, Current b: -0.125615
Epoch 2500/5000, Loss: 0.07085932, w1: -0.242161, w2: 0.235500, Current b: -0.125997
Epoch 2510/5000, Loss: 0.07083828, w1: -0.242329, w2: 0.235626, Current b: -0.126379
Epoch 2520/5000, Loss: 0.07081735, w1: -0.242496, w2: 0.235751, Current b: -0.126761
Epoch 2530/5000, Loss: 0.07079652, w1: -0.242661, w2: 0.235876, Current b: -0.127141
Epoch 2540/5000, Loss: 0.07077580, w1: -0.242827, w2: 0.236000, Current b: -0.127521
Epoch 2550/5000, Loss: 0.07075519, w1: -0.242991, w2: 0.236124, Current b: -0.127900
Epoch 2560/5000, Loss: 0.07073468, w1: -0.243155, w2: 0.236247, Current b: -0.128278
Epoch 2570/5000, Loss: 0.07071427, w1: -0.243318, w2: 0.236369, Current b: -0.128655
Epoch 2580/5000, Loss: 0.07069397, w1: -0.243480, w2: 0.236491, Current b: -0.129032
Epoch 2590/5000, Loss: 0.07067376, w1: -0.243642, w2: 0.236613, Current b: -0.129408
Epoch 2600/5000, Loss: 0.07065366, w1: -0.243802, w2: 0.236734, Current b: -0.129783
Epoch 2610/5000, Loss: 0.07063366, w1: -0.243962, w2: 0.236854, Current b: -0.130157
Epoch 2620/5000, Loss: 0.07061375, w1: -0.244122, w2: 0.236974, Current b: -0.130531
Epoch 2630/5000, Loss: 0.07059394, w1: -0.244281, w2: 0.237093, Current b: -0.130904
Epoch 2640/5000, Loss: 0.07057423, w1: -0.244439, w2: 0.237212, Current b: -0.131276
Epoch 2650/5000, Loss: 0.07055461, w1: -0.244596, w2: 0.237330, Current b: -0.131647
Epoch 2660/5000, Loss: 0.07053509, w1: -0.244753, w2: 0.237448, Current b: -0.132018
Epoch 2670/5000, Loss: 0.07051567, w1: -0.244909, w2: 0.237565, Current b: -0.132388
Epoch 2680/5000, Loss: 0.07049633, w1: -0.245064, w2: 0.237682, Current b: -0.132757
Epoch 2690/5000, Loss: 0.07047709, w1: -0.245219, w2: 0.237799, Current b: -0.133126
Epoch 2700/5000, Loss: 0.07045794, w1: -0.245373, w2: 0.237914, Current b: -0.133494
Epoch 2710/5000, Loss: 0.07043889, w1: -0.245526, w2: 0.238030, Current b: -0.133861
Epoch 2720/5000, Loss: 0.07041992, w1: -0.245679, w2: 0.238144, Current b: -0.134227
Epoch 2730/5000, Loss: 0.07040104, w1: -0.245831, w2: 0.238259, Current b: -0.134593
Epoch 2740/5000, Loss: 0.07038225, w1: -0.245982, w2: 0.238373, Current b: -0.134958
Epoch 2750/5000, Loss: 0.07036355, w1: -0.246133, w2: 0.238486, Current b: -0.135323
Epoch 2760/5000, Loss: 0.07034493, w1: -0.246283, w2: 0.238599, Current b: -0.135686
Epoch 2770/5000, Loss: 0.07032640, w1: -0.246433, w2: 0.238711, Current b: -0.136049
